"wavelength","measurement"
380,3.19562937912743e-05
381,0.000102657007425643
382,2.00174862960333e-05
383,2.25706735344599e-05
384,1.67499620119e-05
385,6.27194376955987e-05
386,5.83036839187948e-05
387,5.49184100617202e-05
388,5.09976371534578e-05
389,6.43020496141304e-05
390,3.48269956552527e-05
391,3.21426689679262e-05
392,2.52182476213222e-05
393,3.27023100867029e-05
394,8.17788929533101e-05
395,1.4813164005276e-05
396,2.62615931498551e-05
397,1.75077287665701e-05
398,8.75386438328504e-06
399,0
400,6.18033079983698e-06
401,2.07936244196365e-05
402,1.59828293608945e-05
403,3.9069728105723e-05
404,5.13855619456762e-05
405,4.67389643723221e-05
406,5.26113521917981e-05
407,3.43775741010188e-05
408,3.82855542211249e-05
409,2.42393358474201e-05
410,2.2092065899951e-05
411,1.84254662883013e-05
412,4.68639192852741e-05
413,5.25424791099115e-05
414,2.99453320125203e-05
415,1.78227109893308e-05
416,5.47671626291443e-05
417,5.07424594224191e-05
418,4.65671342707626e-05
419,3.8347431000143e-05
420,3.33873459603025e-05
421,3.1487875425231e-05
422,3.25912572466997e-05
423,0
424,2.29556011807298e-05
425,6.01526621561542e-05
426,3.72882414173848e-05
427,1.2155729130286e-05
428,0
429,4.83596173431857e-05
430,2.07038128732971e-05
431,2.77086135901582e-05
432,3.38165957330506e-05
433,1.09697019874037e-05
434,2.57636006631869e-05
435,2.98629507678398e-05
436,4.68458690752722e-05
437,3.56125648217442e-05
438,2.43792605682162e-05
439,1.31459563146883e-05
440,1.69352017274079e-05
441,7.71019236551543e-06
442,2.41402856495833e-05
443,5.08894900154108e-06
444,5.80961138570337e-06
445,6.53027376986566e-06
446,7.25093615402795e-06
447,8.06559066496451e-06
448,4.79679098095569e-05
449,1.53951602208043e-05
450,6.9422196506719e-06
451,9.92368325270234e-06
452,9.04789981475548e-06
453,8.17211637680862e-06
454,7.29633293886176e-06
455,3.45483141291749e-05
456,0
457,5.33682828350129e-05
458,7.12543314394167e-06
459,1.80214197254258e-05
460,1.68985167967863e-05
461,1.71286413720932e-05
462,2.92198539010954e-05
463,7.88117254816639e-07
464,2.02360273669797e-05
465,1.98823760347158e-05
466,4.26122346722872e-05
467,1.75038584116174e-05
468,3.92041586308728e-05
469,1.55111706082063e-05
470,2.79673314676987e-05
471,9.78914654829484e-06
472,2.63429135004122e-05
473,6.97372635744683e-06
474,3.00120665659523e-05
475,2.89007123236814e-05
476,1.08772837796074e-05
477,1.73268871021441e-05
478,2.37764904246809e-05
479,3.02260937472176e-05
480,0
481,2.14722016584315e-05
482,1.27185582681454e-05
483,2.5592401766674e-05
484,1.29326591163811e-05
485,3.69679837152017e-05
486,2.28726819058385e-05
487,2.17805598780972e-05
488,2.68983246305543e-06
489,9.18347533940061e-06
490,3.06189523664278e-05
491,1.7300235421039e-05
492,2.42110104195197e-05
493,1.09697247890975e-05
494,1.63781230218044e-05
495,2.06461257416114e-05
496,1.39868758641959e-05
497,2.36522018435123e-05
498,2.72979780054897e-05
499,1.75060960482334e-05
500,1.55874549689178e-05
501,1.22384652452449e-05
502,1.67809057019331e-05
503,9.16606143219322e-08
504,2.32855257449938e-05
505,3.44040147766847e-05
506,8.91176160532455e-06
507,1.14476523716603e-05
508,1.27505020490696e-05
509,5.32105403378292e-06
510,0
511,1.52720038361795e-05
512,0
513,2.36762485681979e-05
514,5.16360078779569e-06
515,1.60460105416146e-05
516,1.39212121713715e-05
517,2.73238943858339e-05
518,1.11434223395673e-05
519,1.86064655049641e-05
520,1.30852328586849e-05
521,1.36933652944632e-05
522,1.43014977302416e-05
523,1.49096301660199e-05
524,1.38704320084278e-05
525,1.62577695822348e-05
526,8.84441560530187e-06
527,0
528,1.73825949013241e-05
529,1.89160050158528e-05
530,8.21594277841873e-06
531,1.74820189234337e-05
532,2.35942056911839e-08
533,2.02218032692839e-05
534,2.15187595573742e-05
535,2.08415544440926e-05
536,1.0218761780109e-05
537,1.37173308824891e-05
538,1.7118279218566e-05
539,1.26226773612093e-05
540,1.0555874536368e-05
541,1.41204623545295e-05
542,1.44840238240171e-05
543,0
544,7.68166558828236e-06
545,1.25776581385543e-05
546,1.2752298470546e-05
547,1.85361397372923e-05
548,2.43199810040386e-05
549,3.01038222707849e-05
550,1.03951689177949e-05
551,3.40647340805527e-05
552,0
553,7.1382191023757e-06
554,1.69588038983125e-05
555,5.22708392460057e-06
556,2.2225415564046e-05
557,7.87792893356581e-06
558,1.03915791872314e-05
559,0
560,5.1646705539189e-06
561,2.57924293656176e-05
562,5.46598080549453e-06
563,1.307507194142e-05
564,1.21597564511105e-05
565,7.80479249723442e-06
566,2.48704614281934e-05
567,0
568,1.55830914132513e-05
569,2.52968310044898e-05
570,1.35180400308875e-05
