"wavelength","measurement"
380,7.53221248763045e-05
381,4.6258396198115e-05
382,9.72976650054389e-05
383,3.1764194493717e-05
384,6.50709711074585e-05
385,2.6183491538307e-05
386,3.2394830570555e-05
387,4.11707543066588e-05
388,4.64430753386049e-05
389,0.000109092392216532
390,6.15643735510267e-05
391,3.55947856513609e-05
392,6.72129517540893e-05
393,8.36049870950519e-05
394,0.000108117052046005
395,7.67599126884351e-05
396,5.6899962524045e-05
397,3.79333083493633e-05
398,1.89666541746817e-05
399,0
400,4.82380048196164e-05
401,3.8903997616326e-05
402,4.57007013823237e-05
403,5.64967063131269e-05
404,8.83327574019545e-05
405,3.45509396568599e-05
406,0
407,6.94730360128024e-05
408,6.0147105949256e-05
409,7.01746367988748e-05
410,1.29061125819401e-06
411,2.51388209027622e-05
412,8.66487344899784e-05
413,8.22996304854106e-05
414,3.63617834637923e-05
415,4.7574465243774e-05
416,4.78716125450992e-05
417,2.55515794667394e-05
418,6.22588539574829e-05
419,5.00560006070704e-05
420,7.84984781335947e-05
421,3.45378189015439e-05
422,6.08745449965624e-05
423,3.81992165978755e-05
424,6.83260623145672e-05
425,7.68322833430856e-05
426,5.03109522567076e-05
427,5.82597273375725e-05
428,1.7934584938771e-05
429,8.95775199945437e-05
430,2.94873090124856e-05
431,6.46377981924004e-05
432,5.94459348011482e-05
433,6.18807313051265e-05
434,4.17491171071803e-05
435,3.4938914510938e-05
436,4.32860782882799e-05
437,4.19064266496347e-05
438,4.05267750109894e-05
439,3.91471233723442e-05
440,6.80622532759794e-06
441,2.92118831805987e-05
442,6.11943283029968e-05
443,3.81468156501147e-05
444,4.74705839453865e-05
445,5.67943522406583e-05
446,6.61181205359301e-05
447,2.52424259898414e-05
448,7.96323863905019e-05
449,2.19617907001532e-05
450,3.02548960222532e-05
451,3.84355401728298e-05
452,4.26714172640514e-05
453,4.69072943552731e-05
454,5.11431714464947e-05
455,2.70220155449177e-05
456,0
457,5.0228083908459e-05
458,6.97899084325032e-05
459,7.21489909746611e-05
460,5.62287303589936e-05
461,3.6490656460456e-05
462,6.86397250122507e-05
463,1.41857576152246e-05
464,5.48416832416866e-05
465,4.26080120999509e-05
466,0
467,3.92836177561097e-05
468,2.7096962142973e-05
469,5.0378988928743e-05
470,5.85639620642708e-05
471,5.8921903577789e-05
472,3.27115007112106e-05
473,4.41659583103985e-05
474,1.49753263802822e-05
475,5.96704329750785e-05
476,4.20550731325401e-05
477,4.56036902509141e-05
478,4.9152307369288e-05
479,5.27009244876619e-05
480,3.5695473878082e-05
481,3.97047205401991e-05
482,3.02168329086614e-05
483,1.73488501914595e-05
484,5.32489882310363e-05
485,4.04075607413782e-05
486,5.57948551213982e-05
487,3.0018709739317e-05
488,3.89247211333344e-06
