"wavelength","measurement"
380,0.00227207750643423
381,0.0021828344954447
382,0.00220243982792359
383,0.00215898949438212
384,0.0021489853488444
385,0.00229445806244738
386,0.00236784103464416
387,0.0025006549650111
388,0.00260035245969064
389,0.00264525039345638
390,0.00260503333647977
391,0.00260208905769526
392,0.00262904668537297
393,0.00267532605477093
394,0.00275427855816249
395,0.00291409709641384
396,0.00320810337825907
397,0.0035632011094736
398,0.00391829884068813
399,0.00427339657190266
400,0.00443379742416648
401,0.00462733673298982
402,0.00485873104796156
403,0.00485692113175376
404,0.00496956902521484
405,0.00497008765409084
406,0.00508591569398711
407,0.00510569289372158
408,0.00522483255201088
409,0.00535700984047189
410,0.00563376878502547
411,0.00565092278332061
412,0.00587475855475555
413,0.00593741286275798
414,0.00593941126242878
415,0.006009107545791
416,0.00594737857346586
417,0.00593781983981379
418,0.0060324938545675
419,0.00590815578027565
420,0.00605542819396997
421,0.00608289102587112
422,0.00610272381617866
423,0.00616605429683875
424,0.0061611581131482
425,0.00605647893936062
426,0.00598191344988847
427,0.00581900876537198
428,0.00568558801316611
429,0.00571894726024995
430,0.00577557198450795
431,0.00598678240057416
432,0.00621340921129063
433,0.00644805164963872
434,0.00672186814301267
435,0.00686084118379021
436,0.00695975626904434
437,0.00707608533890432
438,0.00719241440876429
439,0.00730874347862426
440,0.00741248521327504
441,0.00754819425174755
442,0.00774843392451824
443,0.00782026392613532
444,0.00798038394362821
445,0.0081405039611211
446,0.00830062397861399
447,0.0084732418441789
448,0.00847084343684315
449,0.00880628953979217
450,0.00877255560926414
451,0.00867933680385267
452,0.00865204794057499
453,0.00862475907729731
454,0.00859747021401963
455,0.00857708837321076
456,0.00858269272237539
457,0.00863844878853171
458,0.00867167389238577
459,0.00876582943705269
460,0.00876320215914665
461,0.00865236589386894
462,0.00883486172665979
463,0.00855147056809455
464,0.00848425117249083
465,0.00837640768175452
466,0.00827266613816519
467,0.00820942445775482
468,0.00814796547449665
469,0.00810846780568523
470,0.00821498197956402
471,0.00822188186161005
472,0.00822264148567424
473,0.0083408734906654
474,0.00829805953093304
475,0.00840946474483973
476,0.00819763069506433
477,0.00818546945053032
478,0.00817330820599631
479,0.0081611469614623
480,0.0081621231463602
481,0.00792612592183144
482,0.00779311404813486
483,0.007774845220321
484,0.00765125656513032
485,0.00751385574594126
486,0.00760920236715272
487,0.00772231161516804
488,0.00782899637286674
489,0.00804472115185277
490,0.00813639213965751
491,0.00820396879945984
492,0.00841070788059797
493,0.00836007191778519
494,0.00849960709127263
495,0.00836737241436073
496,0.00842258959998723
497,0.00832758554335167
498,0.00837126129969574
499,0.00823812127885078
500,0.00833583136562732
501,0.00832154961912779
502,0.00851017873040483
503,0.00857950366567
504,0.00852240429011279
505,0.0088424959202618
506,0.00878715640719921
507,0.0088336075960011
508,0.00889530943878185
509,0.00887578376516686
510,0.00875270766510225
511,0.0088881260751469
512,0.00878437133469501
513,0.00851162263954713
514,0.00849777987678535
515,0.008366124223995
516,0.00833113353816595
517,0.00833602212709957
518,0.00831752459480926
519,0.00845980764319643
520,0.00860885425525605
521,0.00867681056850248
522,0.00874476688174892
523,0.00881272319499535
524,0.00874183400451113
525,0.00877542013587995
526,0.00874969839724296
527,0.00870481408764212
528,0.00875557344689329
529,0.00882099518658682
530,0.00880987291825538
531,0.00881378795200333
532,0.00876779085555502
533,0.00886453725525044
534,0.00889402731038233
535,0.00877574220270008
536,0.00886303356826184
537,0.008800836659866
538,0.00875064244754532
539,0.0086863869014908
540,0.00874367875128287
541,0.00867719502080879
542,0.0086229707074329
543,0.0086728099379106
544,0.00869757286881145
545,0.00863056542200615
546,0.00869197216550384
547,0.00867291153379601
548,0.00865385090208819
549,0.00863479027038037
550,0.00860384764790445
551,0.00868762578854025
552,0.00873557313964377
553,0.00865231337877648
554,0.00861053786584001
555,0.00871140139169371
556,0.00858720739316364
557,0.00859317924845643
558,0.00852366413985568
559,0.00849555529572009
560,0.00858925082476514
561,0.00842851067276842
562,0.00857182208964721
563,0.00844629737312887
564,0.00848835635824293
565,0.00836544786695227
566,0.00834083983278716
567,0.00825750587374487
568,0.00831573839807075
569,0.00824061287594841
570,0.00825281530771629
571,0.00828277660040653
572,0.00830628502604267
573,0.00832423818982581
574,0.00837214836335516
575,0.00831162955172108
576,0.00838243377400444
577,0.0084532379962878
578,0.00852404221857116
579,0.00859484644085452
580,0.00866565066313788
581,0.00881641537175821
582,0.00884801046071334
583,0.00894909976706469
584,0.00881859285821272
585,0.00888076936938917
586,0.00869227636517391
587,0.00867659125964741
588,0.00867183156234076
589,0.00866707186503412
590,0.00866231216772747
591,0.00876190254878284
592,0.00887048347074614
593,0.00895233250325485
594,0.00911555323609511
595,0.00916021645197539
596,0.00926771709806425
597,0.00934952709309609
598,0.00939680433213838
599,0.00944476405158855
600,0.00957622676884338
601,0.00967524172055975
602,0.00977890681791975
603,0.00974424605737829
604,0.00989265518164983
605,0.00984773759677394
606,0.00994299310956003
607,0.00989418592349706
608,0.00983240941155577
609,0.00985330459529511
610,0.00981922854513
611,0.00979926701499012
612,0.00975577670839703
613,0.00975295705718786
614,0.00964357943016076
615,0.00982205877546483
616,0.00973248405856007
617,0.0098358844228269
618,0.00982782766447691
619,0.0098945667813124
620,0.00988186359798715
621,0.00995847508808037
622,0.00974520016516528
623,0.00974164430811599
624,0.00965862529412147
625,0.00957560628012694
626,0.00949258726613242
627,0.00947713035667161
628,0.00946606094862812
629,0.00945279278071221
630,0.00957942583527016
631,0.00949653022077296
632,0.00959339372819382
633,0.0096728707440381
634,0.00971814974127544
635,0.00979063202443426
636,0.00971419578011479
637,0.00984850849980097
638,0.00977644652245613
639,0.00987957234249398
640,0.00981814216032319
641,0.0098171210082684
642,0.00980069042066973
643,0.00976060966426813
644,0.00972052890786652
645,0.00968044815146492
646,0.00978698220679477
647,0.00977053741752758
648,0.00963155317396416
649,0.00979786244638948
650,0.00968859110849853
651,0.00974878564463446
652,0.00965169220740998
653,0.0094954050543514
654,0.00937341859141167
655,0.00945241446811291
656,0.00942512835745845
657,0.00956391399399135
658,0.0096630387936259
659,0.0099051710177653
660,0.00998254092688544
661,0.0100232862819132
662,0.0100414604427156
663,0.0099999047971302
664,0.00998714029247055
665,0.00997708196254425
666,0.0100145509851399
667,0.0100479456926566
668,0.0101122812905878
669,0.00992043657597536
670,0.0100099210493975
671,0.00996689149919647
672,0.00995898128548446
673,0.00998750409242157
674,0.0100326623515497
675,0.0100223418295737
676,0.0100247769322854
677,0.0100988635845643
678,0.00999931847605211
679,0.00999107675884595
680,0.0102503478463014
681,0.0100415081440584
682,0.00970797943909497
683,0.00947593532565897
684,0.00905598567412043
685,0.00872361413261031
686,0.00846203220092007
687,0.0083059402740182
688,0.00832619172074144
689,0.00841428098173362
690,0.00866747319608279
691,0.00891888408760529
692,0.00909246927859305
693,0.00920706262601905
694,0.00939559756767638
695,0.00943200565877605
696,0.00961481810808335
697,0.00964274871071837
698,0.00954554042581789
699,0.00958887082630293
700,0.00975334509348776
701,0.00971354944008145
702,0.00985680173194894
703,0.00986687879549797
704,0.0100593423152501
705,0.0100467168406332
706,0.010175727455797
707,0.0102853439224182
708,0.0102855982224957
709,0.0103976431495864
710,0.0102674493494977
711,0.0102751751137141
712,0.0102630506171351
713,0.00987603836424776
714,0.00964052741206066
715,0.00922896272203799
716,0.00889635313663033
717,0.00868181573728388
718,0.00862850713621154
719,0.00866258168908931
720,0.0087845350903729
721,0.00867839421360845
722,0.00886446213944334
723,0.00884730487614867
724,0.00883396342929879
725,0.00887425058632665
726,0.00885358352278659
727,0.00901112303679417
728,0.00912422793655074
729,0.00934448096324827
730,0.00951896921615659
731,0.00979205101987317
732,0.0100136165260795
733,0.0102672611000977
734,0.0104079421454329
735,0.0104928369892638
736,0.0105872966718723
737,0.010661173991046
738,0.0107350513102197
739,0.0108089286293934
740,0.0110023505421677
741,0.0110634545775436
742,0.0111399970992333
743,0.0112165396209231
744,0.0112930821426128
745,0.011317990961008
746,0.0113400366356619
747,0.0114550844622704
748,0.0112887862754325
749,0.0114430813598929
750,0.0114139813856492
751,0.0114201130789047
752,0.0116450396484103
753,0.0115262093676166
754,0.0112256888123702
755,0.0103101420313449
756,0.00939459525031953
757,0.00847904846929418
758,0.00710921040932479
759,0.00596552522636235
760,0.00538609292732582
761,0.00533623289233814
762,0.0056751241562357
763,0.00639985606456939
764,0.00729347259338792
765,0.00821537085067225
766,0.00921910936602116
767,0.0101230030098404
768,0.0107346125995833
769,0.0111324890240133
770,0.011518518273754
771,0.0116827735635086
772,0.0118579989890781
773,0.0120558317089595
774,0.0119888032215519
775,0.0120460498243492
776,0.0121162874665686
777,0.0119793176827709
778,0.01217586037377
779,0.0120341324879554
780,0.0121954526836013
