"wavelength","measurement"
380,3.04249606242914e-05
381,3.87432691393708e-05
382,4.41549278008146e-05
383,1.23059706882862e-05
384,4.42942719007106e-05
385,5.3074029637295e-05
386,2.0102963148364e-05
387,2.30915523343716e-05
388,4.06977660030802e-05
389,1.98089368753948e-05
390,2.56344874719603e-05
391,3.35193229444181e-05
392,1.70595513185344e-05
393,4.67454241958694e-05
394,6.52517628264814e-05
395,1.99825502210178e-05
396,0
397,5.12859376043618e-06
398,1.02571875208724e-05
399,1.53857812813085e-05
400,2.33883335083968e-05
401,4.54662050860525e-05
402,2.48049684158601e-05
403,3.67403032000129e-05
404,3.31979016984391e-05
405,0
406,1.59281494572677e-05
407,6.18206659104053e-06
408,2.42908612315363e-05
409,2.68704479982529e-05
410,7.50174612900727e-06
411,0
412,2.465048177842e-05
413,2.67064705894049e-05
414,2.77679609796866e-05
415,2.76945401298459e-05
416,3.03490810094427e-05
417,3.04526462684931e-05
418,1.47379919871726e-05
419,3.75561263795613e-05
420,1.68774934524345e-05
421,2.49433052532429e-05
422,2.53933840394533e-05
423,2.83180010696886e-05
424,2.74327832486139e-05
425,3.7932868762204e-05
426,2.64984865526654e-05
427,3.02367389245031e-05
428,1.30170773813136e-05
429,3.02149690069155e-06
430,4.50859746295689e-06
431,7.29040653152324e-06
432,2.87783472982632e-05
433,1.92083828815361e-05
434,2.20810166947081e-05
435,3.33885306350097e-05
436,0
437,2.7353000953872e-07
438,5.4706001907744e-07
439,8.2059002861616e-07
440,8.70005525049944e-06
441,1.70781279137478e-05
442,2.4265356513804e-05
443,3.67749896199525e-06
444,9.18177983020111e-06
445,1.4686060698407e-05
446,2.01903415666128e-05
447,8.00695099885067e-06
448,3.23525847905156e-05
449,1.87554808085538e-05
450,1.94048696792476e-05
451,0
452,7.15463059757007e-06
453,1.43092611951401e-05
454,2.14638917927102e-05
455,1.01463549981474e-05
456,0
457,3.39051009672278e-05
458,6.38305691738236e-06
459,2.27023100867716e-05
460,2.59892886890026e-05
461,1.67574441881257e-05
462,1.95222154397848e-05
463,1.15025764671172e-05
464,2.58710692848977e-05
465,1.97520627492838e-05
466,2.17708297586986e-05
467,1.47593010102118e-05
468,3.45246654008025e-05
469,1.6860573306144e-05
470,1.82805106066381e-05
471,1.07893417320366e-05
472,1.34311113004829e-05
473,1.41538195382461e-05
474,6.93984332191949e-06
475,3.06785133370819e-05
476,1.74370892092873e-05
477,2.12099616232183e-05
478,2.49828340371493e-05
479,2.87557064510803e-05
480,1.74042160616327e-05
481,1.42483193687169e-05
482,8.17361822333851e-06
483,1.11222678029912e-05
484,1.96609279911454e-05
485,1.69539629792819e-05
486,2.10362152316973e-05
487,6.92617924464448e-06
488,1.10818345422386e-05
489,3.03631926485447e-06
490,3.90113532181073e-05
491,1.20670156781705e-05
