"wavelength","measurement"
380,3.46358782078797e-05
381,3.67167236589363e-06
382,4.50523923751301e-05
383,2.5020389856515e-05
384,4.75742043060728e-06
385,3.19492078060898e-05
386,1.27392816727804e-05
387,2.41263986775871e-05
388,5.88393805063628e-05
389,4.15218945721054e-05
390,2.86902307130389e-05
391,7.79618448960982e-06
392,1.86728816652205e-05
393,1.65357839414027e-05
394,5.77880647264015e-05
395,2.03996578695699e-05
396,1.11389748470749e-05
397,7.42598323138328e-06
398,3.71299161569164e-06
399,0
400,2.26864917637412e-05
401,9.71863340830786e-06
402,2.5083710390584e-05
403,3.20787487114852e-05
404,2.97767790546174e-05
405,3.99889155054145e-05
406,1.30511238343496e-05
407,5.77496490314451e-06
408,3.73489569882905e-05
409,2.16322047786587e-05
410,0
411,4.18316855098686e-05
412,8.23074867143055e-06
413,4.710461712736e-05
414,1.16306157845133e-05
415,4.67031198979658e-05
416,2.54125337485945e-05
417,3.71195284626239e-05
418,8.97633334021428e-06
419,1.52431017421674e-05
420,4.32599490546985e-05
421,3.72414424229037e-05
422,3.26221227500015e-05
423,2.22155969966361e-05
424,3.82449157085325e-05
425,2.36308146810551e-05
426,3.23718098222349e-05
427,2.48108167779251e-05
428,1.13399770485329e-05
429,3.24527540495132e-05
430,3.2416654285569e-05
431,2.19683810623478e-05
432,3.47045441049475e-05
433,1.0352397835598e-05
434,3.5392462731243e-05
435,3.15530901987667e-05
436,5.35889603166873e-06
437,9.74078999866314e-06
438,1.41226839656576e-05
439,1.8504577932652e-05
440,7.62805170764026e-06
441,2.44002031216525e-05
442,1.22254111876911e-05
443,1.12336166340033e-05
444,1.42592588817054e-05
445,1.72849011294075e-05
446,2.03105433771096e-05
447,1.1104122640451e-05
448,3.33087592093119e-05
449,3.12725652401216e-05
450,0
451,7.5550956895567e-06
452,9.07283151247952e-06
453,1.05905673354023e-05
454,1.21083031583252e-05
455,0
456,0
457,3.5808699510364e-05
458,3.07365020740737e-05
459,1.82150773539295e-05
460,8.07762269837455e-06
461,4.16092950915781e-06
462,1.53728927081813e-05
463,9.34625777273811e-06
464,1.76603376040698e-05
465,1.89420346835418e-05
466,7.63684702023014e-06
467,2.79991103158534e-05
468,1.01465118494911e-05
469,1.54351553744567e-05
470,2.25976645179571e-05
471,1.28176812502888e-05
472,2.06737378492167e-05
473,1.85030641310398e-05
474,2.04624287571904e-06
475,3.59085015447711e-05
476,9.58875854276714e-06
477,1.45574783841778e-05
478,1.95261982255885e-05
479,2.44949180669993e-05
480,1.88604279024703e-05
481,1.07780787919291e-05
482,3.00507129254954e-05
483,0
484,1.0522676124568e-05
485,6.31820747850605e-06
486,1.02621963729852e-05
487,1.3984308275342e-05
488,3.72928860231749e-06
489,1.23892651262783e-05
490,9.07177891617349e-06
491,5.08030693084719e-06
492,1.08759906786526e-05
493,8.9285470529997e-06
494,1.45022296754579e-05
495,1.19218491247354e-05
496,1.27360313232897e-05
497,1.67995159919142e-05
498,2.41822064764776e-06
499,3.63853150892419e-05
500,1.93673004165595e-05
501,1.90003642624351e-05
502,1.17485319682074e-05
503,1.23195801886659e-05
504,1.53200937787504e-05
505,9.15422056066302e-06
