"wavelength","measurement"
380,0
381,0
382,3.22982735997745e-05
383,0
384,0
385,1.97711551060934e-05
386,2.89980047650795e-06
387,2.51400628912149e-05
388,0
389,1.89543133663642e-05
390,0
391,2.52465990577368e-06
392,0
393,0
394,4.08359419119001e-05
395,1.77622144766453e-05
396,0
397,0
398,0
399,0
400,2.98312295669321e-06
401,0
402,1.38539825789202e-05
403,1.65200136522112e-05
404,2.14378896725329e-05
405,2.87953144713902e-05
406,0
407,5.76933729178638e-06
408,1.30964564904255e-05
409,2.50856009125999e-05
410,2.29125290113949e-06
411,2.489915335334e-05
412,9.94837492448229e-06
413,4.34036052809769e-05
414,7.06656685933096e-06
415,2.06721973574497e-05
416,1.85210299528535e-05
417,9.18313726063404e-07
418,0
419,5.35586165347282e-06
420,4.40824838871575e-05
421,2.070589387687e-06
422,1.58574848863541e-05
423,3.60381856505887e-05
424,1.1174330408829e-06
425,0
426,1.14021485340328e-05
427,2.43156272372668e-05
428,0
429,0
430,9.80252352752551e-06
431,2.72646105665543e-07
432,0
433,1.08654719743874e-05
434,0
435,1.1412270756323e-05
436,0
437,9.17986526105876e-07
438,1.83597305221175e-06
439,2.75395957831763e-06
440,1.80298572857188e-05
441,1.0763326825268e-06
442,2.01101783590572e-05
443,1.54601587809527e-06
444,8.57256683700903e-06
445,1.55991177959228e-05
446,2.26256687548366e-05
447,5.21063906262194e-06
448,2.75589881185844e-05
449,0
450,7.09084440340499e-06
451,4.09788433906796e-06
452,3.93013093357307e-06
453,3.76237752807817e-06
454,3.59462412258327e-06
455,1.96212540058335e-05
456,0
457,3.17010307603359e-05
458,1.08940333485105e-05
459,5.38911132161081e-06
460,1.40623247883394e-05
461,8.7312434973207e-06
462,6.89819825071e-06
463,0
464,1.40045250492992e-05
465,6.46764609278824e-06
466,1.81013695889217e-05
467,0
468,9.58875059578919e-06
469,4.850812008781e-06
470,1.29225760996171e-05
471,1.05017094053919e-05
472,6.12607955258373e-06
473,3.70479402432286e-06
474,2.04471291567551e-05
475,1.37121973197979e-05
476,9.63966110624811e-06
477,1.27862224851874e-05
478,1.59327838641268e-05
479,1.90793452430661e-05
480,1.36373620542441e-05
481,2.12610382038129e-05
482,1.49408136158422e-05
483,4.39022121621838e-05
484,1.60392581361431e-05
485,3.55602052396146e-07
486,1.8251755348012e-05
487,8.85143278017886e-06
488,1.34442921518067e-06
489,8.09292784459199e-06
490,2.10728182032019e-06
491,6.15929867289351e-06
492,1.41181558545873e-06
493,2.71443051593599e-06
494,1.37215643172624e-05
495,5.32488586176642e-06
496,7.36092963641607e-07
497,4.17340298892268e-05
498,5.2003423729724e-06
499,1.32536605853434e-06
500,2.21189355026822e-06
501,9.01678082512052e-06
502,8.91968430258314e-07
503,1.19114631138821e-05
