"wavelength","measurement"
380,4.82022347458275e-06
381,1.3956046613886e-05
382,5.68816795983669e-05
383,0
384,3.65186204280988e-05
385,5.22739192457321e-05
386,0
387,2.54461445590101e-05
388,4.2313836273365e-05
389,2.56328108949049e-05
390,2.84964698884621e-06
391,7.15805900502398e-06
392,3.0303015659808e-05
393,3.99732148850803e-05
394,6.0406297566308e-05
395,3.43430101808715e-05
396,1.68649382240297e-05
397,1.2687840617507e-05
398,8.51074301098437e-06
399,4.33364540446171e-06
400,1.4861319059275e-05
401,3.02229998546528e-05
402,2.33396628511322e-05
403,2.61281954453298e-05
404,2.35559959630883e-05
405,1.20699064392926e-05
406,1.40143989195142e-05
407,1.94454653986575e-05
408,2.37411325153006e-05
409,1.35744171092451e-05
410,1.56346642220619e-05
411,1.01038613983925e-05
412,2.86383586836582e-05
413,4.82488751934071e-05
414,1.53557480961573e-05
415,9.21622065523531e-06
416,3.49531191023435e-05
417,3.98395137273483e-05
418,5.33342342717329e-05
419,3.40235125074009e-05
420,2.38831226900505e-05
421,3.08630148564834e-05
422,4.58172994022275e-05
423,2.6832754461561e-05
424,3.55032545987879e-05
425,5.70432076740425e-05
426,4.19406034944356e-05
427,2.70202833667246e-05
428,1.22786032204623e-06
429,7.98412659974094e-06
430,2.56758186160958e-05
431,1.89889527162802e-05
432,3.13737434058382e-05
433,2.2586648165011e-05
434,1.60005596031215e-05
435,2.1840352690635e-05
436,2.30025439771148e-05
437,2.13203851068004e-05
438,1.9638226236486e-05
439,1.79560673661715e-05
440,0
441,9.39192741048487e-08
442,1.86192096283237e-05
443,1.07641068330941e-05
444,1.21004623503549e-05
445,1.34368178676157e-05
446,1.47731733848764e-05
447,1.00061027285012e-05
448,2.60115279146357e-05
449,1.19524769130292e-05
450,8.95753651942291e-06
451,7.11146144600093e-06
452,1.17139549464272e-05
453,1.63164484468535e-05
454,2.09189419472797e-05
455,1.28663324707097e-05
456,0
457,3.31554209389566e-05
458,3.75859206324501e-05
459,1.28231622996103e-05
460,2.6079894069753e-05
461,6.81032984054495e-06
462,3.71283801943581e-05
463,7.04701079851246e-06
464,1.79251110219629e-05
465,2.48645163803862e-05
466,9.4297387842596e-06
467,1.97470297136517e-05
468,2.59210494812573e-05
469,1.24182951471223e-05
470,8.47230528052384e-06
471,1.71657800118815e-05
472,1.201939577145e-05
473,1.68788826023317e-05
474,1.8180522170566e-05
475,2.26761611703883e-05
476,7.51586694106601e-06
477,9.0322911375946e-06
478,1.05487153341232e-05
479,1.20651395306518e-05
480,1.49475564597927e-05
481,5.91007652794604e-06
482,2.07173057670286e-05
483,3.31398721199328e-05
484,0
485,5.77697109241802e-06
486,2.56181604730197e-05
487,1.6655755832081e-05
488,1.1545899051062e-06
489,7.39505629623197e-06
490,1.46256361553231e-05
491,7.80449482868213e-06
492,1.02149236472029e-05
493,1.90692785658857e-05
494,1.39908701354666e-05
495,1.0557224650578e-05
496,0
497,1.0892490667212e-05
498,2.47231231543481e-05
499,2.509636644043e-05
500,2.14036304286539e-05
501,4.3081969782701e-06
502,1.85632199184755e-05
503,8.53778443313954e-06
504,1.25234991889089e-05
505,1.60464805222962e-05
506,8.50751464096822e-06
507,1.58180334474026e-05
508,4.33328441135308e-06
509,1.21574853967289e-05
510,1.56494085599953e-05
511,0
512,1.76299678984398e-05
513,1.05023496992619e-05
514,1.17106459143564e-05
515,9.71201690868737e-06
516,1.21328817168002e-05
517,1.45549815730258e-05
518,1.68280800545097e-05
519,1.76226147302597e-05
520,7.78375825948159e-06
521,8.54634919720597e-06
522,9.30894013493036e-06
523,1.00715310726547e-05
524,6.04027761613549e-06
525,4.85606320492234e-06
526,1.40578911534961e-05
527,1.26555194054417e-06
528,1.95870082992983e-05
529,1.06580603208957e-05
530,1.1242651219467e-05
531,7.43218627749056e-06
532,8.94459492537268e-06
533,1.63123414434711e-05
534,7.49568777812746e-06
535,1.53363269434727e-05
536,6.22755878586178e-06
537,1.00039892751128e-05
538,8.41050199252757e-06
539,1.43268000297633e-05
540,7.4887630812636e-06
541,1.4371789385452e-05
542,2.65505672652474e-05
543,8.90771896513099e-06
544,6.19449276968216e-06
545,3.47594585832572e-06
546,1.87955381464252e-05
547,1.77748251099714e-05
548,1.67541120735176e-05
549,1.57333990370638e-05
550,1.20104122636449e-06
551,2.49143113552921e-05
552,0
553,1.03902123514596e-05
554,1.64730755264482e-05
555,4.91285957986626e-06
556,1.96489606248331e-05
557,6.51693495448036e-06
558,5.42132092185428e-06
559,1.58273246250562e-05
560,5.26850519636904e-06
561,1.12999144901312e-05
562,9.54977224105955e-06
563,6.25809064479424e-06
564,1.31211938571291e-05
565,0
566,1.36595666868191e-05
567,1.48625046514114e-05
568,1.4093190542738e-05
569,2.48562946112245e-05
570,1.05921071867882e-05
571,8.01903798379078e-06
572,1.12295126810279e-05
573,1.17035365579871e-05
574,1.31411144698025e-05
575,1.31910532285043e-05
576,1.52607694432006e-05
577,1.73304856578969e-05
578,1.94002018725932e-05
579,2.14699180872895e-05
580,2.35396343019858e-05
581,1.61839463949658e-05
582,1.50207785865083e-05
583,1.68806010458975e-05
584,7.19710576129843e-06
585,1.01673607834092e-05
586,8.49391034777994e-06
587,0
588,3.86340831928222e-06
589,7.72681663856445e-06
590,1.15902249578467e-05
591,0
592,9.44791345754022e-06
593,2.31622941140498e-05
594,1.13020795342855e-05
595,1.27970537869062e-05
596,1.26926094523854e-05
597,4.10291111195952e-06
598,1.25632038941282e-05
599,9.0271582360997e-06
600,8.84830157772266e-06
601,6.92701258456622e-06
602,1.55157604107983e-05
603,1.21372889420347e-05
604,0
605,1.45634590516453e-05
606,1.20898118146272e-05
607,7.54323833935638e-06
608,1.19882461888889e-05
609,5.3209531215483e-06
610,1.51939930700614e-05
