"wavelength","measurement"
380,2.16001744948524e-05
381,4.55746229964715e-05
382,5.49277736640216e-05
383,0
384,3.05022255421175e-05
385,3.78270931908691e-05
386,1.62064120140655e-05
387,2.66834906130054e-05
388,2.48882220339954e-06
389,2.36295484819819e-05
390,6.17348671311609e-06
391,2.06035438340435e-05
392,2.68332748326147e-05
393,1.12149463531551e-05
394,2.69559570985994e-05
395,3.37945465137187e-05
396,3.24301078547307e-05
397,3.24112668683358e-05
398,3.23924258819408e-05
399,3.23735848955459e-05
400,0
401,1.2596787124009e-05
402,1.98053148352059e-05
403,2.87210830658107e-05
404,2.63792154795128e-05
405,2.19194559010849e-05
406,3.11951870497955e-05
407,9.57024961306839e-06
408,2.65450145634741e-05
409,1.98788136271436e-05
410,1.38140772554955e-05
411,1.18187303635873e-05
412,4.26253836750354e-05
413,6.42048027313015e-05
414,3.96261856056611e-05
415,2.61607051253736e-06
416,2.03120439461706e-05
417,1.9531365820042e-05
418,5.05872616871609e-06
419,2.8017241658133e-05
420,4.48326882767776e-05
421,2.30861210081979e-05
422,2.35952291215909e-05
423,8.25232614223338e-06
424,2.30197492085078e-05
425,3.31081416336221e-05
426,2.40152496049081e-05
427,1.94731454359395e-05
428,0
429,2.50449842124494e-05
430,4.74509442895226e-05
431,8.07501784764487e-06
432,2.08696609099852e-05
433,2.89057344411618e-05
434,1.19305760488903e-05
435,3.6862319477315e-05
436,2.76853980557075e-05
437,2.07147198445242e-05
438,1.37440416333408e-05
439,6.77336342215741e-06
440,5.94322372115976e-06
441,5.6030131822429e-06
442,0
443,2.20049303620048e-05
444,2.14893547836717e-05
445,2.09737792053385e-05
446,2.04582036270054e-05
447,2.02430546479468e-05
448,3.64319228153643e-05
449,0
450,2.21322608847241e-05
451,0
452,2.51254364552197e-06
453,5.02508729104394e-06
454,7.53763093656591e-06
455,1.03411604450999e-05
456,0
457,4.18269155386887e-05
458,8.79560630198656e-06
459,1.23034230932496e-05
460,3.93048297876554e-05
461,2.29482924829997e-05
462,1.85060694415286e-06
463,1.62643740433635e-05
464,1.08723929594943e-05
465,1.26029266230028e-05
466,7.15939949051449e-06
467,1.89790501502154e-05
468,0
469,2.25194944139393e-05
470,5.03004808687786e-06
471,1.18201089590824e-05
472,5.95379889430077e-08
473,1.67045815417039e-05
474,1.42511597664944e-05
475,7.05341295282652e-06
476,1.5376126742156e-05
477,1.99367265824187e-05
478,2.44973264226814e-05
479,2.90579262629441e-05
480,1.54154369509009e-05
481,1.33862991032188e-05
482,1.66217058937567e-05
483,0
484,1.20534904316841e-05
485,9.61797812638028e-06
486,1.35767505627177e-05
487,6.52894200092074e-06
488,4.48492671185007e-06
489,8.10697812055081e-06
490,2.52137509364972e-05
491,2.08204703611137e-06
492,3.11719749825878e-06
493,8.39910840050162e-06
494,1.36246803742236e-05
495,2.56880759604922e-06
496,4.651522983257e-06
497,1.3048135930196e-05
498,6.56479024561373e-06
499,1.07956718770198e-05
500,7.33897318845617e-06
501,8.6212742827443e-06
502,1.37789100907041e-05
503,1.39143058986331e-05
504,1.85984746066043e-05
505,2.00451930136677e-05
506,7.60722625492987e-06
507,4.70546805077643e-06
508,1.03318407448726e-05
509,1.0647510731033e-05
510,4.87987249713241e-06
511,1.32795805761043e-06
512,1.13331883901015e-05
513,7.28817917036953e-06
514,3.17813606818624e-06
515,1.5688154369498e-05
516,1.08407165062115e-05
517,2.49676309723651e-05
518,1.17874144563474e-05
519,3.05690878523747e-06
520,2.07698340389097e-06
521,5.05669313338154e-06
522,8.03640286287211e-06
523,1.10161125923627e-05
524,6.7827955304212e-06
525,1.06899778883333e-05
526,4.33287574795841e-06
527,0
528,1.12663268428334e-05
529,1.2227824347125e-05
530,1.01858885663366e-05
531,1.11728641566847e-05
532,1.48147692603396e-06
533,1.01127813204585e-05
534,6.37534944458824e-06
535,1.84748681146746e-05
536,5.14793375006704e-06
537,1.51373880915818e-05
538,6.04956035697136e-06
539,1.33353084049497e-05
540,1.08307570758478e-05
541,1.70658944490249e-05
542,5.50999543398346e-06
543,8.5875860231523e-06
544,1.4723043850963e-05
545,4.45537510741102e-06
546,9.03647602021189e-06
547,1.25713992402505e-05
548,1.61063224602891e-05
549,1.96412456803277e-05
550,1.84516188704514e-05
551,1.25192627252661e-05
552,0
553,7.57091054296963e-06
554,5.42390371418066e-06
555,6.44165916173034e-06
556,1.33698366456088e-05
557,1.54231495364046e-05
558,7.01754856106418e-06
559,1.62751120543696e-05
560,1.67196562276212e-06
561,9.37382817336433e-06
562,1.48427788377434e-05
563,1.56682220244019e-05
564,1.03382487275932e-05
565,5.87204280504942e-06
566,7.9159236517965e-06
567,9.21216575454523e-06
568,1.18309768350304e-05
569,2.52127136099599e-06
570,1.36214257780657e-05
571,8.96730751622284e-06
572,9.6305896763814e-06
573,1.67703090656309e-05
574,1.14292938185577e-05
575,1.52817729267289e-05
576,1.48334632312879e-05
577,1.43851535358468e-05
578,1.39368438404057e-05
579,1.34885341449646e-05
580,1.30402244495236e-05
581,1.15532219994978e-05
582,3.91331204670293e-06
583,3.4217972612265e-06
584,8.62965402424437e-06
585,1.53993313575662e-06
586,1.64614204814221e-05
587,0
588,3.74789940319422e-06
589,7.49579880638843e-06
590,1.12436982095826e-05
591,1.22664353134793e-05
592,1.12617848143251e-05
593,2.04326010815259e-05
594,0
595,0
596,1.3327020976917e-06
597,5.98294194085386e-06
598,5.83230331391281e-06
599,1.20160068433121e-05
600,1.52158700525441e-05
601,1.2185520198929e-05
602,8.92087051585408e-06
603,4.41481680594275e-06
604,6.91660896980123e-06
605,1.58053748954557e-05
606,5.27527600384851e-06
607,1.71695453792948e-05
608,9.88336324576652e-06
609,7.10659950924102e-06
610,1.0696320724742e-05
611,1.86073578518671e-05
612,9.38956018759161e-06
613,1.29454358524437e-05
614,5.32781483215687e-06
615,0
616,5.1176526218145e-06
617,1.54392469632935e-05
618,1.72280075849299e-05
619,7.15546499626865e-06
620,1.50603140242412e-05
621,1.00283834853949e-05
622,1.65467275500945e-05
623,2.77088270899199e-06
624,4.89375844214054e-06
625,7.0166341752891e-06
626,9.13950990843765e-06
627,4.26276275676475e-06
628,1.09644588869934e-06
629,2.86634048614227e-06
630,2.55561249784105e-05
631,2.04144571766745e-05
632,4.3062704663393e-06
633,1.26679266598006e-05
634,1.40807386954185e-05
635,1.28803477525383e-05
636,2.43232642471309e-05
637,1.08303652509079e-05
638,1.33042082838545e-05
639,9.35907113023423e-06
640,1.40449718435305e-05
641,3.58793867257853e-06
642,2.36984626360632e-05
643,2.29935920011806e-05
644,2.2288721366298e-05
645,2.15838507314154e-05
646,7.41649101797603e-07
647,7.30263782474401e-06
648,0
649,1.59359941957667e-05
650,0
651,2.87148599286627e-05
652,1.22614507337136e-05
653,1.06675463328572e-05
654,1.23861275458221e-05
655,4.66029377642001e-06
656,2.05885195934618e-05
657,0
658,9.79851679490171e-06
659,1.79421482903797e-05
660,2.2783445644984e-05
661,2.22929351506078e-05
662,1.70118533706782e-05
663,1.46267202633181e-05
664,1.99041122356607e-05
665,1.68768800530035e-05
666,8.43313972376723e-06
667,1.51257471705959e-05
668,1.42650857354522e-05
669,2.99549224115256e-05
670,2.2509985489754e-05
671,2.27309209472693e-05
672,1.75885724277125e-05
673,2.6324365314001e-05
674,1.97030421162579e-05
675,2.43583777009993e-05
676,2.24960553185889e-05
677,1.46102333482249e-05
678,2.26736288971684e-05
679,1.26365320549882e-05
680,2.785057703749e-05
681,2.76695823048244e-05
682,9.29946027702896e-06
683,1.38453562021717e-05
684,1.33489734838582e-05
685,3.5381171849231e-05
686,1.32044196527068e-05
687,4.38775521550977e-05
688,1.46158155279272e-05
689,2.59227981838859e-05
690,2.32132097202741e-05
691,1.92929097267633e-05
692,3.7095141108545e-05
