"wavelength","measurement"
380,3.97748616932315e-05
381,0
382,3.48901208192256e-05
383,2.13621433843963e-05
384,3.42953542692013e-05
385,1.48765599489132e-05
386,1.02347102369178e-05
387,1.20589131913285e-05
388,2.01325420903209e-05
389,0
390,0
391,1.22086795572513e-05
392,3.41874208675605e-07
393,2.13183968226022e-05
394,2.45419575320305e-05
395,5.08459027080345e-06
396,7.09059480094356e-06
397,1.10845832769612e-05
398,1.50785717529789e-05
399,1.90725602289966e-05
400,0
401,1.17166358652864e-05
402,2.5101430872383e-05
403,0
404,1.44490362238175e-05
405,0
406,0
407,2.26191419166504e-05
408,4.8747196651927e-05
409,2.08649308025938e-05
410,1.88231233136387e-06
411,0
412,0
413,3.02068992650719e-05
414,9.85553819543826e-06
415,8.76442087963898e-06
416,0
417,2.18120503186128e-05
418,1.05171737789378e-05
419,2.77135354359929e-05
420,1.42361365328716e-05
421,3.93459741104366e-05
422,5.39537748936072e-05
423,1.31222061777977e-05
424,1.77393817714956e-05
425,8.26056502565157e-06
426,2.5590199733037e-05
427,2.61745310845402e-05
428,9.96336527923586e-06
429,1.23085011592463e-05
430,2.22520279772052e-05
431,1.70014065454759e-05
432,2.11114015236857e-06
433,1.46460034391189e-05
434,2.37956163234749e-05
435,1.51281771537999e-05
436,0
437,2.85692798111991e-06
438,5.71385596223981e-06
439,8.57078394335972e-06
440,1.10790318777762e-05
441,1.21470727597384e-05
442,3.52609035188559e-06
443,1.5105447879253e-05
444,1.49300102933452e-05
445,1.47545727074374e-05
446,1.45791351215296e-05
447,2.19408515618624e-05
448,2.68381959892814e-05
449,0
450,1.25536355005538e-05
451,5.04659579431988e-06
452,8.12283503625865e-06
453,1.11990742781974e-05
454,1.42753135201362e-05
455,1.29319753270229e-05
456,5.44433883185587e-06
457,9.76580999264796e-06
458,1.14585186933798e-05
459,6.05733466127305e-06
460,5.76377215631597e-06
461,5.2925565633157e-06
462,1.83064617150618e-05
463,1.76618723378228e-05
464,3.52029283005848e-06
465,1.87650052525935e-05
466,1.61611179674084e-05
467,8.40803946467641e-07
468,8.99218191562658e-06
469,0
470,6.57363184017702e-06
471,0
472,1.51524008793774e-05
473,0
474,1.71132151009904e-05
475,2.49261736102048e-05
476,1.07130929429591e-05
477,1.06137215064714e-05
478,1.05143500699836e-05
479,1.04149786334959e-05
480,5.29797492672914e-06
481,3.38980535585903e-06
482,3.14680373808418e-05
483,0
484,9.06538061016508e-06
485,1.31328278900627e-05
486,1.4161028353589e-05
487,0
488,0
489,8.53935822655804e-07
490,7.07013588736773e-06
491,4.29168301632255e-06
492,7.76777598008966e-06
493,1.60505115290503e-05
494,0
495,1.17210919857978e-05
496,1.673490846711e-05
497,1.27018025795077e-05
498,6.87273487587898e-06
499,3.49190696175852e-05
500,1.22531862366684e-05
501,7.90339358691857e-06
502,1.2669385003969e-05
503,0
504,2.00978173092059e-05
505,3.0518304668823e-07
506,2.86316226802877e-06
507,6.11143530226359e-06
