FolderName,FirstDark,FirstDarkName,LastDark,LastDarkName,FirstLab,FirstLabName,LastLab,LastLabName,FirstField,FirstFieldName,LastField,LastFieldName
SP057,6,20210916132700.csv,148,20210916135040.csv,150,20210916135100.csv,227,20210916140350.csv,231,20210916140430.csv,436,20210916143840.csv
SP059,4,20210917143559.csv,78,20210917144819.csv,79,20210917144829.csv,155,20210917150109.csv,159,20210917150149.csv,340,20210917153159.csv
SP063,4,20210930093932.csv,83,20210930095242.csv,84,20210930095252.csv,162,20210930100552.csv,166,20210930100632.csv,381,20210930104222.csv
SP064,4,20211001151340.csv,78,20211001152600.csv,79,20211001152610.csv,156,20211001153900.csv,160,20211001153940.csv,345,20211001161030.csv
SP065,4,20211006142246.csv,72,20211006143406.csv,75,20211006143436.csv,152,20211006144726.csv,156,20211006144806.csv,347,20211006151956.csv
SP066,4,20211008132436.csv,73,20211008133606.csv,74,20211008133616.csv,151,20211008134906.csv,155,20211008134946.csv,345,20211008142126.csv
SP067,4,20211014153116.csv,71,20211014154226.csv,74,20211014154256.csv,151,20211014155546.csv,155,20211014155626.csv,334,20211014162616.csv
SP068,3,20211021153445.csv,95,20211021155005.csv,96,20211021155015.csv,174,20211021160315.csv,178,20211021160355.csv,375,20211021163645.csv
SP070,3,20211028133258.csv,71,20211028134418.csv,73,20211028134438.csv,150,20211028135728.csv,154,20211028135808.csv,334,20211028142808.csv
SP071,4,20211029112854.csv,74,20211029114034.csv,76,20211029114054.csv,153,20211029115344.csv,157,20211029115424.csv,374,20211029123034.csv
