"wavelength","measurement"
380,0
381,0
382,1.97918612238404e-05
383,4.08196481472783e-06
384,2.61046917283217e-05
385,3.64050547643971e-05
386,3.81768732122995e-06
387,2.30499246816858e-05
388,2.86541891212522e-05
389,6.27897834596976e-06
390,1.36949501012901e-06
391,2.05497494382665e-05
392,1.14767142702752e-06
393,4.76264883427366e-05
394,4.31992727362884e-05
395,1.18057018893278e-05
396,0
397,0
398,0
399,0
400,2.34235337110781e-05
401,5.81167772492842e-06
402,3.11380477690757e-05
403,0
404,4.37491915703819e-05
405,1.50682684556465e-05
406,1.08364289978711e-05
407,2.57938146667373e-05
408,1.33212688160324e-05
409,3.75976143903084e-05
410,0
411,1.55719311946852e-05
412,2.48476544505001e-06
413,1.87086551182463e-05
414,2.04034590082674e-05
415,6.05495407112312e-06
416,4.12416190800006e-06
417,0
418,2.70018254245481e-05
419,2.96052915369848e-05
420,1.15443677559997e-05
421,2.84082425432474e-05
422,0
423,1.31918304439192e-05
424,1.12150059836463e-05
425,3.15203133372524e-06
426,2.37494137792551e-05
427,1.27586038240207e-05
428,0
429,3.58733756854408e-05
430,3.27119769245406e-05
431,6.07076191295199e-06
432,0
433,7.77935547420783e-06
434,1.91726466310376e-05
435,1.54356985280851e-05
436,5.04452923998991e-06
437,4.7185994817181e-06
438,4.3926697234463e-06
439,4.06673996517449e-06
440,0
441,0
442,5.79064709401668e-06
443,1.88206137750379e-05
444,1.50770267370596e-05
445,1.13334396990814e-05
446,7.58985266110308e-06
447,1.24936219249578e-05
448,4.05153167463974e-05
449,1.38237966846147e-05
450,3.27128687072229e-07
451,8.49528591636033e-06
452,6.51154044456978e-06
453,4.52779497277922e-06
454,2.54404950098867e-06
455,3.19369426018145e-05
456,0
457,2.7022051674058e-05
458,2.38688045774274e-07
459,1.25790372320447e-05
460,4.18966824554146e-06
461,1.61817473156196e-05
462,1.8873721473018e-05
463,1.9405664647282e-05
464,2.24480005742579e-05
465,7.99548868841843e-06
466,1.12196325753462e-05
467,5.82356254776927e-06
468,8.79240757601185e-06
469,1.90845094163181e-06
470,5.1570678448402e-06
471,1.18926983917211e-06
472,1.72180798624048e-05
473,6.6578245789983e-06
474,1.40543214901655e-05
475,1.39273921021489e-05
476,2.7385548572803e-08
477,6.07099338938225e-06
478,1.21146012301917e-05
479,1.81582090710011e-05
480,7.53780401731654e-08
481,6.90780578681465e-06
482,0
483,1.27236029814788e-05
484,4.56847266471882e-07
485,6.2922379038721e-06
486,1.33887262580391e-05
487,1.40231589358244e-05
488,1.23315902041419e-05
489,0
490,1.23407727986393e-06
491,1.28648145407646e-05
492,1.51693183356856e-06
493,9.07161487280173e-07
494,1.29847282890282e-05
495,3.27040865129752e-06
496,6.14817452436238e-07
497,1.47018215793607e-05
498,2.22440473810305e-05
