"wavelength","measurement"
380,3.84099794761505e-05
381,3.03245284038903e-05
382,5.97170857110763e-05
383,2.60820262490886e-05
384,0
385,5.39133822415658e-05
386,3.24436533983094e-05
387,5.17771273931277e-05
388,7.91806942728878e-05
389,5.62426711700228e-05
390,3.00036178721793e-05
391,4.49356024118181e-05
392,4.68569074663067e-05
393,3.57388649635219e-05
394,7.2416583227871e-05
395,3.41975803073421e-05
396,4.15289281787911e-05
397,5.2122345325149e-05
398,6.27157624715069e-05
399,7.33091796178647e-05
400,0
401,2.56720639954085e-05
402,2.52577633658447e-05
403,5.46423093720342e-05
404,5.33529551182492e-05
405,8.17248979884514e-05
406,2.02507495743346e-05
407,4.37984198342234e-05
408,3.6362419905991e-05
409,4.1387882407738e-05
410,2.35345723282204e-05
411,5.62570210850911e-05
412,1.50147919512551e-05
413,6.23090135545267e-05
414,2.84130247429171e-05
415,3.44248648141884e-05
416,3.86536866276567e-05
417,4.97467830748904e-05
418,2.87599038244948e-05
419,1.3528149886263e-05
420,5.48926655696339e-05
421,2.96454130681156e-05
422,5.63402062874768e-05
423,2.38919066823856e-05
424,3.71662081898427e-05
425,4.11173114195273e-05
426,4.07653203044357e-05
427,4.3260675111413e-05
428,3.9988546300069e-05
429,1.07808601182102e-05
430,3.79789956510719e-05
431,3.13405794084834e-05
432,2.85711129704221e-05
433,2.87228094479845e-05
434,4.43568827507227e-05
435,2.62943663861841e-05
436,6.40132384031442e-06
437,1.47610462999446e-05
438,2.31207687595747e-05
439,3.14804912192048e-05
440,2.44656245178366e-05
441,2.3594421322858e-05
442,3.881702014511e-05
443,3.52433356554638e-05
444,3.5782639208445e-05
445,3.63219427614263e-05
446,3.68612463144076e-05
447,3.94967944542443e-05
448,3.33886445171465e-05
449,4.63006691901853e-07
450,3.83569453191482e-05
451,1.5803602993633e-05
452,2.20595106953168e-05
453,2.83154183970005e-05
454,3.45713260986843e-05
455,2.38982780126428e-05
456,0
457,2.60083893472329e-05
458,2.24617274357045e-05
459,2.76414121350838e-05
460,2.23417963221245e-05
461,1.9440704849156e-05
462,2.64501386314502e-05
463,4.33077418184942e-05
464,2.21757483543273e-05
465,2.87225818730802e-05
466,2.9413554219345e-05
467,2.17606228224226e-05
468,2.65662542178033e-05
469,2.03142830499894e-05
470,2.86558937516671e-05
471,3.03383995533046e-05
472,2.08788931471609e-05
473,3.19910552822224e-05
474,2.54084843300307e-05
475,3.12260608847636e-05
476,1.56895902259847e-05
477,1.78790761918772e-05
478,2.00685621577696e-05
479,2.22580481236621e-05
480,1.82175849674126e-05
481,1.85731605848849e-05
482,1.43103925663165e-05
483,3.21560234633312e-05
484,2.73004537208756e-05
485,1.71605725328928e-05
486,1.79272746424256e-05
487,1.69174482444465e-05
488,1.860173669465e-05
489,1.07104747206674e-05
490,2.5017729714591e-05
491,1.4656247284106e-05
492,1.3778041478992e-05
493,1.22671611815799e-05
494,2.91585625028209e-05
495,7.18310449870369e-06
496,1.33522836560405e-05
497,1.79024527933628e-05
498,2.42968739242908e-05
499,1.73720209887979e-05
500,2.3202469858421e-05
501,1.7452206616581e-05
502,2.12970530587476e-05
503,1.99388983695556e-05
504,2.43288589704121e-05
505,9.35063557147809e-06
506,9.63021736852675e-06
507,1.71801393465298e-05
508,1.55879625610485e-05
509,2.30945834500857e-05
510,1.43683840868565e-05
511,9.09765479742437e-06
512,2.49601683557284e-05
513,2.81731192949784e-05
514,1.02395579862393e-05
515,2.79346277782585e-05
516,1.61992346690218e-05
517,1.77530327368797e-05
518,1.94048383569654e-05
519,2.10392709361686e-05
520,1.48280803612685e-05
521,1.55955701054021e-05
522,1.63630598495357e-05
523,1.71305495936693e-05
524,1.53684929473439e-05
525,1.75226944991566e-05
526,1.32296625612089e-05
527,1.55582000889888e-07
528,2.28724096405592e-05
529,1.6112470147398e-05
530,1.75528642966577e-05
531,1.68639428139076e-05
532,1.1033371198834e-05
533,1.02087182573982e-05
534,1.05572494950393e-05
535,2.33094554189886e-05
536,2.03206962002058e-05
537,2.03328500826324e-05
538,2.05453043446914e-05
539,1.76313150789479e-05
540,1.72944909109858e-05
541,1.04358030917623e-05
542,2.19805916366824e-05
543,2.20893137819001e-05
544,2.37355060455828e-05
545,1.65090976066597e-05
546,1.95614705151651e-05
547,2.18534182152545e-05
548,2.41453659153439e-05
549,2.64373136154333e-05
550,1.86818944793347e-05
551,2.85784236710469e-05
552,5.19493045306918e-06
553,1.35912698777085e-05
554,1.75778625298709e-05
555,1.80050676606851e-05
556,2.45281536557659e-05
557,1.25839575581102e-05
558,1.15192470512526e-05
559,1.51540658752515e-05
560,1.26368361711192e-05
561,1.23640863043827e-05
562,1.88164037133229e-05
563,1.28491203038878e-05
564,9.84877110023178e-06
565,1.32322217571405e-05
566,2.25848806000698e-05
567,5.8020165352356e-06
568,1.91514569334396e-05
569,1.60945953299483e-05
570,1.43422195746923e-05
571,1.93822530212521e-05
572,1.67548976142775e-05
573,2.24058244673285e-05
574,1.09279212033587e-05
575,2.33933458851212e-05
576,2.39178382795229e-05
577,2.44423306739247e-05
578,2.49668230683264e-05
579,2.54913154627281e-05
580,2.60158078571299e-05
581,2.33959950241372e-05
582,1.58887009764572e-05
583,1.99296895691065e-05
584,1.82715710184737e-05
585,1.76888066718506e-05
586,1.90474210238227e-05
587,1.02778145097154e-05
588,8.94374186083315e-06
589,7.6096692119509e-06
590,6.27559656306866e-06
591,1.37482206702389e-05
592,2.02839409526155e-05
593,9.14890473224858e-06
594,1.65672606960154e-05
595,7.71982521086795e-06
596,1.54136096903906e-05
597,6.30451887522239e-06
598,1.71514528822012e-05
599,1.31144823702111e-05
600,7.78269795706318e-06
601,1.76032724643133e-05
602,2.67317566933705e-05
603,2.51497594200017e-05
604,1.51265876557748e-05
605,1.29275841241654e-05
606,2.08459870240262e-05
607,2.11221171021354e-05
608,1.53938336280713e-05
609,1.97629866669345e-05
610,1.58595711244413e-05
611,8.45562646255115e-06
612,1.28293045878373e-05
613,2.1600419486399e-05
614,1.27160435149275e-05
615,0
616,8.3084467795693e-06
617,2.10859065174951e-05
618,1.95550511013683e-05
619,2.60120570869475e-05
620,1.66359136423506e-05
621,1.95122244918801e-05
622,1.25064756066914e-05
623,2.29097748069264e-05
624,2.11042450235295e-05
625,1.92987152401325e-05
626,1.74931854567355e-05
627,2.56433856972338e-05
628,1.7532882843873e-05
629,1.84618551275131e-05
630,2.89347992239693e-05
631,1.84744711318899e-05
632,2.24974635100325e-05
633,1.74054620253491e-05
634,1.60480698332529e-05
635,2.07206825553656e-05
636,3.48363375939242e-05
637,7.85129892541916e-06
638,1.35390625949571e-05
639,1.18265540653173e-05
640,2.09418738142408e-05
641,1.76407537684083e-05
642,1.37718446847241e-05
643,2.11957887151249e-05
644,2.86197327455257e-05
645,3.60436767759265e-05
646,5.41197545498116e-06
647,1.90138591695595e-05
648,2.07117618249996e-05
649,2.64814507247985e-05
650,1.59179440624474e-05
651,3.22037632655713e-05
652,1.82908656129955e-05
653,9.11424295977605e-06
654,5.78592523608343e-06
655,6.34999322375367e-06
656,2.09062177770375e-05
657,1.6537016133449e-05
658,9.61137834218124e-06
659,2.96715293532268e-05
660,1.58067201648298e-05
661,1.55051126123413e-05
662,2.14251472936002e-05
663,5.79844935630711e-06
664,2.04809207146076e-05
665,2.79309465360894e-05
666,1.50379448579813e-05
667,1.61995575217266e-05
668,1.62687674445791e-05
669,1.48279795561856e-05
670,1.47466625292417e-05
671,2.34267179961305e-05
672,3.36490570382355e-05
673,1.79042545695213e-05
674,1.87264934330889e-05
675,1.23749919651151e-05
676,2.71792993813838e-05
677,2.07422797496189e-05
678,2.39943663912551e-05
679,1.47588401339974e-05
680,1.98139652116671e-05
681,6.10825521017886e-06
682,1.03311224982426e-05
683,2.5827459987063e-05
684,1.41740020749069e-05
685,3.27423219367435e-05
686,2.00910828324404e-05
687,3.62348904898028e-05
688,2.14920330159632e-05
689,2.14600930832174e-05
690,1.75197859258571e-05
691,2.29823909649008e-05
692,2.04711757181856e-05
693,1.47175144686341e-05
694,2.17637950707813e-05
695,3.25483000595965e-05
696,4.05478276295117e-05
697,2.22267641835464e-05
698,1.72641503233439e-05
699,3.36426634959323e-05
700,3.20261039354056e-05
701,4.59092426188857e-05
702,1.35704911453999e-05
703,3.25960756240002e-05
704,5.17690369086554e-05
705,2.4605002944817e-05
706,2.43146149809022e-05
707,1.89669161447936e-05
708,3.48766107277509e-05
709,2.1265276284141e-05
710,4.52712298595404e-05
711,4.89966790578863e-05
712,3.19924705951327e-05
713,2.62307708870947e-05
714,3.32008727840477e-05
715,3.41491718567696e-05
716,5.42926537938546e-05
717,3.70545920514996e-05
718,4.66629119262742e-05
719,4.92937342750021e-05
720,3.6447223151391e-05
721,5.24967830473235e-05
722,4.59126598170349e-05
723,3.09076929287941e-05
724,4.31109024315866e-05
725,3.80044625186914e-05
726,3.17396281173712e-05
727,4.17117270283162e-05
728,4.20944762723115e-05
729,9.05607111162114e-06
730,3.90492660584356e-05
731,4.18835365742297e-05
732,3.95182587485393e-05
733,4.33360685589906e-05
734,2.73885410896279e-05
735,6.08161206492365e-05
736,4.45672067986679e-05
737,4.13780747541505e-05
738,3.8188942709633e-05
739,3.49998106651156e-05
740,4.45954253077056e-05
741,4.7443546319358e-05
742,4.4680424933172e-05
743,4.19173035469861e-05
744,3.91541821608002e-05
745,4.77340352507288e-05
746,4.55842845584291e-05
747,5.21758520798119e-05
748,4.02864648962991e-05
749,3.94939433350262e-05
750,2.93878687378019e-05
751,3.68512161161185e-05
752,6.68583220842346e-05
753,0
754,3.9637310566848e-05
755,4.31757148430407e-05
756,4.67141191192335e-05
757,5.02525233954262e-05
758,5.78928958469207e-05
759,4.80654420701339e-05
760,4.78823000891039e-05
761,6.5113922884365e-05
762,6.19524368762991e-05
763,4.39843087886074e-05
764,4.70635858523674e-05
765,3.12894916831439e-05
766,5.64146406418795e-05
767,4.0143628610425e-05
768,5.53535078229119e-05
769,4.84474122204116e-05
770,4.50513285394108e-05
771,7.22616238789708e-05
772,5.19019960452651e-05
773,6.09727246211187e-05
774,5.64010488465655e-05
775,4.18315664004835e-05
776,6.93068626964939e-05
777,6.12887976810981e-05
778,6.61731093102516e-05
779,4.82284604336327e-05
780,3.81567276531221e-05
