"wavelength","measurement"
380,3.63141865377439e-05
381,1.36986672309252e-05
382,3.55912717263952e-05
383,0
384,2.01916022328817e-05
385,2.43755899121641e-05
386,3.58748090331781e-05
387,4.60589158237627e-05
388,4.98105051597002e-05
389,3.70736202196601e-05
390,1.09975595885946e-05
391,2.22800482112474e-05
392,0
393,2.60897395855034e-05
394,4.46230754421413e-05
395,1.90392306516336e-05
396,2.8887121152275e-06
397,1.48543657610003e-05
398,2.68200194067731e-05
399,3.8785673052546e-05
400,1.78091298451039e-05
401,1.62077790240923e-05
402,9.60291492547178e-06
403,3.54099696984e-05
404,4.87057127322399e-05
405,2.86665729547748e-05
406,7.92991544626507e-06
407,2.26499774941028e-05
408,1.88404904446407e-05
409,3.97098429801648e-05
410,1.59823212247144e-05
411,9.33047248215591e-06
412,1.5745153357515e-05
413,3.51435220634799e-05
414,2.18995987443439e-05
415,1.87628096947136e-05
416,3.54454281086323e-05
417,1.25352943779162e-06
418,4.16010836082149e-05
419,9.65882029769421e-06
420,4.52463752399247e-05
421,2.03668640207885e-05
422,2.21697053278807e-05
423,0
424,1.25932339524785e-05
425,2.92067954514288e-05
426,1.65126011239858e-05
427,3.89892308280488e-05
428,9.15688384015726e-06
429,9.78190043964745e-06
430,2.86925809714857e-05
431,9.16541474961859e-06
432,2.08859781426977e-05
433,2.73534592806871e-05
434,2.18280322340986e-05
435,2.70201880413741e-05
436,0
437,5.14318555056707e-06
438,1.02863711011341e-05
439,1.54295566517012e-05
440,1.92045881917406e-05
441,8.84747725342661e-06
442,3.37744537045993e-05
443,1.72315899190697e-05
444,2.06546600645602e-05
445,2.40777302100507e-05
446,2.75008003555412e-05
447,2.35237263239007e-05
448,1.13207618552539e-05
449,1.72968636369626e-05
450,7.6643333143287e-06
451,0
452,5.58236915630624e-06
453,1.11647383126125e-05
454,1.67471074689187e-05
455,1.37253055054336e-05
456,0
457,1.43967760978026e-05
458,7.02496656448748e-06
459,2.38016425520442e-05
460,1.37217334448462e-05
461,1.08170120009854e-05
462,2.61657829571347e-05
463,1.84627762455213e-06
464,6.06093549533964e-06
465,1.52976366665617e-05
466,4.8238894763381e-06
467,1.26312803820011e-05
468,3.48279975749719e-05
469,1.60254456572684e-05
470,1.00786657913061e-05
471,1.55308209163157e-05
472,1.60870825796481e-05
473,9.9170357190384e-06
474,4.45116163171548e-06
475,1.69038903603182e-05
476,1.39637496376532e-05
477,1.56032380800525e-05
478,1.72427265224518e-05
479,1.88822149648511e-05
480,1.62876539263766e-05
481,6.1128669785573e-06
482,1.7212159207983e-05
483,2.46278864735211e-05
484,1.97450803909993e-05
485,1.09084236068418e-05
486,2.48708965833841e-05
487,1.05760553148582e-05
488,1.13065051882706e-05
489,2.4893305086606e-05
490,1.74003553314014e-05
491,8.60229257409598e-06
492,1.05421638806e-05
493,1.26660461076194e-05
494,9.67430964688986e-06
495,1.42356219525402e-05
496,1.30862245513559e-05
497,1.10566007644058e-05
498,1.23156069596231e-05
499,3.88825515782911e-05
500,7.80256696490623e-06
501,2.03974729537931e-05
502,1.01463134212103e-05
503,7.42908756425908e-06
504,1.63194592986628e-05
505,1.35326358667221e-05
506,1.21237565629229e-05
507,7.93980121092511e-06
508,1.08811393974141e-05
509,2.21916931973123e-05
510,8.73822859165088e-06
511,8.69446505787436e-06
512,1.96653651091214e-05
513,2.97324691321396e-06
514,9.0335754387343e-06
515,1.60227382976717e-05
516,6.85050288866739e-06
517,1.41328222228959e-05
518,1.77445034931771e-05
519,1.15093562082307e-05
520,1.53577650902684e-05
521,1.12406039758242e-05
522,7.1234428613799e-06
523,3.00628174693563e-06
524,1.50160422155325e-05
525,1.05200213228022e-05
526,9.43297678690229e-06
527,0
528,1.36386754752316e-05
529,9.52416934463779e-06
530,1.5895768673303e-05
531,9.47481077087125e-06
532,7.41851035988334e-06
533,1.24960726915042e-05
534,7.69061726701243e-06
535,1.07075903159316e-05
536,8.16839846245189e-06
537,1.3540748777264e-05
538,1.0747936811426e-05
539,1.06783967014521e-05
540,1.84221294462139e-05
541,1.52744451944667e-05
542,1.46793806546358e-05
543,2.68608018976261e-05
544,1.72965791422307e-05
545,4.97600585973804e-06
546,1.39755714266436e-05
547,1.35785067970713e-05
548,1.31814421674989e-05
549,1.27843775379266e-05
550,1.64018225790412e-05
551,1.65074229423729e-05
552,0
553,8.67823139055583e-06
554,2.03028600436238e-05
555,7.18197117471964e-06
556,2.24414239636986e-05
557,4.66161655858433e-07
558,1.03086343944715e-05
559,1.14855709487219e-05
560,9.57449051295871e-06
561,6.45188257292188e-06
562,9.94830080019571e-06
563,1.15998228989885e-05
564,8.3367347520007e-06
565,8.50201046472802e-06
566,1.33014236971265e-05
567,0
568,2.06538784346828e-05
569,7.74685696445386e-06
570,7.15531295486062e-06
571,9.42636902691461e-06
572,6.34241840171535e-06
573,1.98609326049777e-05
574,1.27573640386724e-05
575,1.01783313899357e-05
576,1.16716299212585e-05
577,1.31649284525813e-05
578,1.46582269839041e-05
579,1.61515255152269e-05
580,1.76448240465498e-05
581,8.12080005169275e-06
582,5.60734102781169e-06
583,2.62069276119434e-05
584,2.43168985212762e-06
585,1.1457868691548e-05
586,0
587,0
588,5.03684206951016e-06
589,1.00736841390203e-05
590,1.51105262085305e-05
591,3.4062213357703e-06
592,9.96217769075545e-06
593,4.50022277476524e-06
594,7.66543992512152e-06
595,6.49906957713413e-06
596,0
597,5.95997241745397e-06
598,1.02560866282345e-05
599,1.50103068764743e-05
600,6.86117665206427e-06
601,5.10999996887281e-06
602,1.21269884614929e-05
603,3.27965917544236e-07
604,7.81379571054225e-06
605,0
606,7.59328356456896e-06
607,2.34779675152625e-05
608,1.04919023068086e-05
609,1.17537142412501e-05
610,1.66430197330972e-05
611,2.68034556451559e-06
612,8.37124839732568e-06
613,1.89799840038279e-05
614,7.30955249433488e-06
615,3.14240574251929e-06
616,7.68094055156905e-06
617,1.43561917318361e-05
618,1.00079888865581e-05
619,4.39921937490241e-06
620,8.22709857228225e-07
621,7.61511766701605e-07
622,1.44205323381052e-05
623,2.78942121731516e-06
624,4.75622240618382e-06
625,6.72302359505247e-06
626,8.68982478392112e-06
627,6.79323695332714e-07
628,3.31652360609705e-06
629,1.41812332611775e-05
630,2.14991324560238e-05
631,1.57975404493932e-05
632,0
633,7.71048691918384e-06
634,1.25787073916824e-05
635,4.41719688991921e-06
636,2.9860904625632e-05
637,1.47774625848879e-05
638,8.55846216633401e-06
639,5.41949347011083e-06
640,1.2965209434135e-05
641,3.69058246323669e-06
642,1.401826393923e-05
643,1.76958431575296e-05
644,2.13734223758293e-05
645,2.5051001594129e-05
646,1.57946598408796e-05
647,5.31291038980917e-06
648,1.35215874494058e-05
649,2.345445308135e-05
650,0
651,7.28059646499223e-06
652,6.52694396069769e-06
