"wavelength","measurement"
380,1.0124272296109e-05
381,4.10909645553245e-05
382,2.92811567899914e-05
383,4.85914758396447e-05
384,3.67956260767593e-05
385,3.94179973885023e-05
386,2.82067093362725e-05
387,5.319820062117e-05
388,3.02861408334758e-05
389,1.48060151338653e-05
390,3.54426716448391e-05
391,2.12930166186228e-05
392,2.1944333272088e-05
393,3.96999149936122e-05
394,4.64913027655943e-05
395,4.59033699485001e-05
396,3.77189629757199e-05
397,2.69013975105664e-05
398,1.60838320454129e-05
399,5.26626658025939e-06
400,0
401,0
402,2.89100748363751e-05
403,6.17892785805533e-05
404,3.80452156155646e-05
405,4.09538910452426e-05
406,8.53620139247813e-06
407,4.52517901810832e-05
408,3.9830802021891e-05
409,2.65968968061603e-05
410,2.92604683086992e-05
411,4.5024192641554e-05
412,1.50147919512551e-05
413,5.67911329155954e-05
414,9.70697144990793e-06
415,3.88917205695135e-05
416,2.1013985664471e-05
417,2.77628459261356e-05
418,2.31872823062098e-05
419,9.38973940706692e-06
420,2.36465716341027e-05
421,2.52398670976682e-05
422,3.2820787472828e-05
423,3.47524971463123e-05
424,9.9599911506715e-06
425,5.17414212846403e-05
426,3.44460331917561e-05
427,2.11563080280786e-05
428,1.2686532722028e-05
429,4.6204777966073e-05
430,2.26406012559496e-05
431,8.76106149235374e-06
432,1.64449133758201e-05
433,2.86899649203718e-05
434,1.25059020983251e-05
435,2.24493670203253e-05
436,6.40132384031442e-06
437,1.02321508813515e-05
438,1.40629779223885e-05
439,1.78938049634255e-05
440,3.61166732796424e-05
441,1.56263389240206e-05
442,2.1168560641229e-05
443,8.96771356531851e-06
444,1.07828445464545e-05
445,1.25979755275906e-05
446,1.44131065087266e-05
447,1.91003428067692e-05
448,4.26486116687478e-05
449,2.58846710641174e-05
450,2.06537449359126e-05
451,2.42336984142218e-05
452,2.0466916045298e-05
453,1.67001336763742e-05
454,1.29333513074504e-05
455,2.80476366677116e-05
456,0
457,3.42633139538897e-05
458,7.66855219895305e-06
459,3.009161389499e-05
460,2.83851894028571e-05
461,1.05770616640783e-05
462,1.84798665974395e-05
463,1.80218348270783e-05
464,2.90347805374433e-05
465,3.18581394425049e-05
466,2.31730939729355e-05
467,1.88703043925056e-05
468,1.72909596199826e-05
469,0
470,3.32015763732606e-05
471,1.22870471773745e-05
472,1.90450736887861e-05
473,2.60352476084565e-05
474,9.47231953235889e-06
475,1.67744687351837e-05
476,5.08080780708857e-06
477,1.02190024742084e-05
478,1.53571971413283e-05
479,2.04953918084482e-05
480,9.37802776925355e-06
481,1.25297675041524e-05
482,3.09516198900751e-05
483,3.88125143928347e-05
484,1.16401829551499e-05
485,1.58818255911724e-05
486,1.9585923286866e-05
487,1.31468964745105e-05
488,2.11159419791082e-06
489,1.3743119436905e-05
490,2.20617222294497e-05
491,1.46737643654988e-05
492,1.55122325369416e-05
493,1.3652105429248e-05
494,1.73608081843459e-05
495,1.15798919284544e-05
496,1.8870164294971e-05
497,4.32671471345441e-06
498,1.5573367390363e-05
499,5.42509514099022e-05
500,6.51307056082997e-06
501,1.33181754077308e-05
502,6.71955688665189e-06
503,1.30853402743769e-05
504,1.91613199593502e-05
505,2.33555421455252e-05
506,8.94595637659652e-06
507,2.42789365812172e-05
508,9.26539099560732e-06
509,2.0587451175651e-05
510,1.78170594861872e-05
511,2.14690935315344e-05
512,1.51068100719239e-05
513,2.09144786925757e-05
514,1.17044239177646e-05
515,2.21014396742472e-05
516,7.93555152167203e-06
517,5.65529839954332e-06
518,1.9888747730459e-05
519,8.99627747818533e-06
520,8.11465891723592e-06
521,9.14016067272708e-06
522,1.01656624282182e-05
523,1.11911641837094e-05
524,1.5368492947345e-05
525,7.11754815145937e-06
526,1.32296625612089e-05
527,0
528,1.01615774544518e-05
529,1.37476641592856e-05
530,2.37013598657515e-05
531,5.98583526858873e-06
532,1.1033371198834e-05
533,7.84391226928513e-06
534,2.47460854237178e-05
535,2.33094554189886e-05
536,1.36685845410513e-05
537,1.43934646726728e-05
538,1.72192485151136e-05
539,9.07860008860474e-06
540,1.20546939391753e-05
541,2.08759836022458e-05
542,3.38593624566022e-05
543,7.76909974277093e-06
544,1.32340157502212e-05
545,1.10979616824702e-05
546,1.23028299127636e-05
547,1.55509183055774e-05
548,1.87990066983912e-05
549,2.2047095091205e-05
550,9.00370700946451e-06
551,1.64806893337092e-05
552,3.23301733700511e-06
553,2.32694573475773e-05
554,1.8545681276857e-05
555,9.46001639345248e-06
556,1.68206378426582e-05
557,1.43986177087107e-05
558,1.43438764259423e-05
559,2.22813283672034e-05
560,1.02391856553934e-05
561,0
562,1.54750204375281e-05
563,1.94705770706037e-05
564,1.36674948439993e-05
565,1.6542950140499e-05
566,3.49126188123149e-06
567,1.7626046475801e-05
568,1.91514569334396e-05
569,1.1321190650238e-05
570,7.72076280797577e-06
571,1.4626365422938e-05
572,1.08264603801885e-05
573,1.10153422912512e-05
574,1.51046502981052e-05
575,1.39341219326694e-05
576,1.53975298897591e-05
577,1.68609378468488e-05
578,1.83243458039385e-05
579,1.97877537610282e-05
580,2.12511617181179e-05
581,9.20715909545872e-06
582,2.25013992024764e-05
583,1.22440701077409e-05
584,8.3744200311845e-06
585,1.29591946956245e-05
586,1.43178090475966e-05
587,6.0014570145449e-06
588,5.29179532949909e-06
589,4.58213364445327e-06
590,3.87247195940746e-06
591,1.22964925497575e-05
592,1.48645938965222e-05
593,1.78548941847832e-05
594,4.46952635867765e-06
595,7.71982521086795e-06
596,1.05526196037132e-05
597,1.84526148215657e-05
598,1.95819479255385e-05
599,1.01978883182032e-05
600,1.0686154198026e-05
601,2.34101849462356e-05
602,1.80213879704876e-05
603,4.40296614465694e-06
604,1.51265876557748e-05
605,8.8459066618212e-07
606,7.83955408940513e-06
607,1.81113687376394e-05
608,9.61319676823804e-06
609,7.67620050546772e-06
610,1.05278094753175e-05
611,7.24585302881703e-06
612,1.2343205579169e-05
613,1.18784393130453e-05
614,5.39171385729952e-06
615,1.53149932411485e-05
616,4.89261590785075e-06
617,2.54104359864987e-05
618,1.80836162643204e-05
619,4.99703350276669e-06
620,1.41725740713994e-05
621,7.04772626286814e-06
622,1.25064756066908e-05
623,7.99835927076899e-06
624,7.33362941311924e-06
625,6.66889955546949e-06
626,6.00416969781973e-06
627,9.8588531353731e-06
628,1.80627745560249e-05
629,9.61025493589542e-06
630,1.60925889274108e-05
631,2.10341546505037e-05
632,0
633,1.53559635023173e-05
634,5.71299181112914e-06
635,2.3277470922639e-06
636,1.8142559025985e-05
637,1.73849704737927e-05
638,6.64390143146596e-06
639,7.01154631730009e-06
640,1.18132847730905e-05
641,1.87136750037561e-05
642,1.5799994264807e-05
643,1.52782996569066e-05
644,1.47566050490063e-05
645,1.42349104411059e-05
646,2.6530351355159e-06
647,6.87014249356312e-06
648,5.29673019878128e-06
649,2.31444467193506e-05
650,1.37370674289636e-05
651,1.60245489635664e-05
652,1.60574377353339e-05
653,1.54368145252151e-05
654,2.19147779290835e-05
655,2.41083954540644e-06
656,1.24323296529657e-05
657,0
658,4.53580400843434e-06
659,2.50995711095418e-05
660,1.98225110742739e-05
661,1.32016164091047e-05
662,1.70896696487263e-05
663,8.69971596209398e-06
664,1.11881090353921e-05
665,1.50602709822663e-05
666,2.09280634765222e-05
667,1.32326018607143e-05
668,1.03129597708128e-05
669,2.37945355944477e-05
670,7.54714207654229e-06
671,4.149169922661e-06
672,2.03316959088799e-05
673,9.39533228266208e-06
674,9.57381840502164e-06
675,2.58675239084022e-05
676,1.67237914246813e-05
677,3.12459596801533e-05
678,1.84370723191896e-05
679,5.46383881960852e-06
680,1.98139652116671e-05
681,6.10825521017886e-06
682,1.53059736139751e-05
683,0
684,1.16778179763454e-05
685,1.63419544821465e-05
686,1.68613709505267e-05
687,3.17045353144237e-05
688,2.21226479461275e-05
689,3.1707585698375e-05
690,2.58863819263939e-05
691,2.75696766548034e-05
692,3.01931558915393e-05
693,2.12426272876868e-05
694,2.30819554456364e-05
695,7.57332126291377e-06
696,3.39395086738409e-05
697,1.48520729169129e-05
698,1.65963115952184e-05
699,1.8561551233776e-05
700,2.38543854653701e-05
701,3.30538945112815e-05
702,2.55970623395744e-05
703,2.78358087553361e-05
704,3.17754781332299e-05
705,2.11782238972272e-05
706,3.80655238747449e-05
707,1.89669161447936e-05
708,2.58728308915281e-05
709,1.7087452371807e-05
710,3.13013574482799e-05
711,4.47925795234621e-05
712,2.70176194793982e-05
713,4.24931913257185e-05
714,1.96054279875727e-05
715,3.34725745879474e-05
716,3.49997782741659e-05
717,2.98244167063613e-05
718,4.44820352927916e-05
719,4.92937342750021e-05
720,3.6447223151391e-05
721,1.95865663794165e-05
722,4.21815214802351e-05
723,4.43520528982515e-05
724,3.56989873669925e-05
725,2.51819589387002e-05
726,2.71939454957768e-05
727,3.02708832432321e-05
728,3.66926462976139e-05
729,3.66081004244605e-06
730,2.97476958385203e-05
731,4.11062160873961e-05
732,3.56010014219335e-05
733,4.25499895314603e-05
734,5.11679790812093e-05
735,2.89350325131936e-05
736,4.05601744299207e-05
737,3.27319353297101e-05
738,2.49036962294994e-05
739,1.70754571292887e-05
740,3.88542018810085e-05
741,4.49933445594541e-05
742,4.77641611368094e-05
743,5.05349777141646e-05
744,5.33057942915199e-05
745,5.27658168809909e-05
746,4.66024649144249e-05
747,5.47267770577298e-05
748,3.68355998617955e-05
749,4.72343036757479e-05
750,3.3712398206805e-05
751,4.556596410935e-05
752,3.18241592973742e-05
753,0
754,5.02876960540539e-05
755,4.81673531617764e-05
756,4.60470102694988e-05
757,4.39266673772213e-05
758,4.51229435111093e-05
759,3.19442531002427e-05
760,4.13944110680139e-05
761,4.27270928635646e-05
762,5.44638845806103e-05
763,2.24547209384967e-05
764,4.80314045993535e-05
765,4.95641868468375e-05
766,3.60116200888815e-05
767,4.0143628610425e-05
768,5.04268286810096e-05
769,3.85283648813818e-05
770,2.7897726584895e-05
771,6.01748377175047e-05
772,5.19019960452651e-05
